unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
477,12X057,12,P.S. 057 Crescent,P.S. 057 Crescent,Edsel Philip,EMS,Elementary School,66.18,C,42.6,20.8,19.9,D,16.3,A,4.2,D,2.2,C,B,0.72,1,,7.7,6.7,6.9,7.5
478,12X061,12,P.S. 061 Francisco Oller,P.S. 061 Francisco Oller,Patricia Quigley,EMS,Elementary School,63.28,A,70,86.7,41.9,A,13.7,B,9.9,A,4.5,D,C,0.31,0.58,,8.3,8,8,8.3
479,12X066,12,P.S. 066 School Of Higher Expectations,P.S. 066 School of Higher Expectations,Thomas Degrazia,EMS,Elementary School,68.54,A,65.1,76.1,35.8,B,16.8,A,9.5,B,3,B,B,0.97,0.93,,8.2,7.6,7.9,8
480,12X067,12,P.S. 067 Mohegan School,P.S. 067 Mohegan School,Emily Grimball,EMS,Elementary School,66.26,B,62.8,71.2,36.9,B,15.7,B,6,C,4.2,B,C,0.26,0.76,,7.3,7.3,7.4,7.6
481,12X092,12,P.S. 092 Bronx,P.S. 092 Bronx,Manuel Estrella,EMS,Elementary School,70.12,C,38,13.1,28,C,4.2,F,1.4,F,4.4,C,B,0.57,0.8,,6.9,6.3,6.7,6.7
482,12X098,12,J.H.S. 098 Herman Ridder,J.H.S. 098 Herman Ridder,Claralee Irobunda,EMS,Middle School,2.14,A,84.1,95.3,53.6,A,18,A,7.4,C,5.1,C,A,0.76,1,0.94,7,6.9,7.2,7.6
483,12X102,12,P.S. 102 Joseph O. Loretan,P.S. 102 Joseph O. Loretan,Tanyua Trezevantte,EMS,Elementary School,62.26,,.,.,.,,.,,.,,.,.,C,0.12,0.28,,7.4,6.6,7.2,7.1
484,12X129,12,P.S. 129 Twin Parks Upper,P.S. 129 Twin Parks Upper,Yvette Beasley,EMS,Middle School,2.2,B,58.3,57.5,30.5,C,15.5,B,8.4,B,3.8,B,B,0.64,0.88,0.89,7.3,7.2,7.7,8
485,12X134,12,P.S. 134 George F. Bristow,P.S. 134 George F. Bristow,Kenneth Thomas,EMS,Elementary School,62.16,C,43.9,23,26.8,C,10.9,C,4.2,D,2,C,B,0.92,0.9,,7.5,7.1,7.3,7.4
486,12X150,12,P.S. 150 Charles James Fox,P.S. 150 Charles James Fox,Edwin Irizarry,EMS,Elementary School,66.21,B,51.9,43.6,26.9,C,12.4,B,9.8,A,2.8,B,A,0.79,0.95,,8.2,8.1,8.2,8.3
487,12X190,12,E.S.M.T- I.S. 190,E.S.M.T- I.S. 190,Dianajade Santiago,EMS,Middle School,2.33,A,69.1,80.1,41.6,A,13.9,B,9,B,4.5,C,B,0.66,0.55,0.99,7.8,7,7.7,7.8
488,12X195,12,P.S. 195,P.S. 195,Andrew Kavanagh,EMS,Elementary School,65.2,C,40.8,17.5,21.5,C,9.5,C,7.4,B,2.4,C,C,0.64,0.5,,8.1,7.4,7.7,7.8
489,12X196,12,P.S. 196,P.S. 196,Lizzette Rivera,EMS,Elementary School,62.1,A,69.4,85.7,38.6,B,18.5,A,8.5,B,3.8,C,B,0.81,0.53,,8.3,7.4,7.7,7.9
490,12X198,12,P.S. 198,P.S. 198,Ronnie Nelson,EMS,Middle School,2.29,,.,.,.,,.,,.,,.,.,.,0.51,0.64,,8,7.7,7.9,7.9
