unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
869,24Q061,24,I.S. 061 Leonardo Da Vinci,I.S. 061 Leonardo Da Vinci,Joseph J Lisa,EMS,Middle School,2.69,B,57.6,56.6,34.5,B,11.2,C,8.5,B,3.4,B,B,0.52,0.8,0.97,7.2,7.1,7.2,7.6
870,24Q068,24,P.S. 068 Cambridge,P.S. 068 Cambridge,Anne Marie Snadecky-Scalfar,EMS,Elementary School,53.75,B,52,44.3,28.1,C,12.8,B,8.4,B,2.7,B,B,0.49,0.79,,8.4,7.4,7.6,7.9
871,24Q071,24,P.S. 071 Forest,P.S. 071 Forest,Walkydia Olivella,EMS,Elementary School,38.34,D,35.5,9.7,17.8,D,9.6,C,5.8,C,2.3,C,C,0.65,0.62,,7.9,6.6,7.2,7.3
872,24Q073,24,I.S. 73 - The Frank Sansivieri Intermediate School,I.S. 73 - The Frank Sansivieri Intermediate Scho,Camillo Turriciano,EMS,Middle School,2.8,B,63,69.3,35.7,B,18.5,A,5.5,C,3.3,B,A,0.54,0.6,0.96,7.2,6,6.4,6.8
873,24Q077,24,I.S. 077,I.S. 077,Joseph Miller,EMS,Middle School,2.51,B,53.9,47,27.5,C,15.3,B,7.7,B,3.4,B,B,0.78,0.96,0.98,7.1,6.8,7,7.6
874,24Q081,24,P.S. 81Q Jean Paul Richter,P.S. 81Q Jean Paul Richter,Romy Diamond,EMS,Elementary School,57.04,B,63.7,72.6,34,B,14.4,B,11.3,A,4,A,A,0.97,0.99,,8.5,8.3,8.3,8.5
875,24Q087,24,P.S. 087 Middle Village,P.S. 087 Middle Village,Caryn Michaeli,EMS,Elementary/Middle School,37.8,B,53.1,45.6,25,C,13.2,B,9.9,A,4.9,A,A,0.55,0.67,0.88,8.5,7.9,8.4,8.7
876,24Q088,24,P.S. 088 Seneca,P.S. 088 Seneca,David Bishop,EMS,Elementary School,40.36,C,39.3,15.3,19.6,D,11.6,C,6.2,C,1.9,B,C,0.41,0.78,,8.3,7,7.4,7.8
877,24Q089,24,P.S. 089 Elmhurst,P.S. 089 Elmhurst,Casper Cacioppo,EMS,Elementary School,52.08,B,61.6,68.5,31.9,B,17,A,9.6,B,3.1,A,A,1,0.92,,8.2,7.6,7.4,7.9
878,24Q091,24,P.S. 091 Richard Arkwright,P.S. 091 Richard Arkwright,Victoria Catalano,EMS,Elementary School,38.19,B,56.4,56.7,34,B,12.3,C,6.5,C,3.5,C,B,0.44,0.51,,8,7,7.4,7.8
879,24Q093,24,I.S. 093 Ridgewood,I.S. 093 Ridgewood,Edward Santos,EMS,Middle School,2.66,B,59.5,60.2,32.5,B,17.6,A,6.3,C,3.1,C,B,0.62,0.95,0.88,6.6,6.4,6.7,7.2
880,24Q102,24,P.S. 102 Bayview,P.S. 102 Bayview,Anthony Pisacano,EMS,Elementary/Middle School,31.26,B,57.8,61.9,26.3,C,17.2,A,11.5,A,2.8,A,A,0.37,0.88,0.99,8.4,7.5,7.9,8.3
881,24Q113,24,P.S. 113 Isaac Chauncey,P.S. 113 Isaac Chauncey,Anthony Pranzo,EMS,Elementary/Middle School,24.83,B,60.8,66.9,26.9,C,17.8,A,13.2,A,2.9,B,A,0.96,0.96,0.98,9.1,8.4,8.8,9.1
882,24Q119,24,I.S. 119 The Glendale,I.S. 119 The Glendale,Dr. Jeanne Fagan,EMS,Elementary/Middle School,3.07,A,68.8,79.3,38.9,B,19.1,A,7.9,B,2.9,A,C,0.53,0.98,0.95,7.6,7.1,7.5,8
883,24Q125,24,I.S. 125 Thom J. Mccann Woodside,I.S. 125 Thom J. McCann Woodside,Judy Mittler,EMS,Middle School,2.89,A,67.9,77.9,37.2,B,16.9,A,10.4,A,3.4,A,B,0.58,0.94,0.98,7.8,7.2,7.6,8.1
884,24Q128,24,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",P.S. 128 Juniper Valley,John Lavelle,EMS,Elementary/Middle School,13.72,B,55,53.8,24.1,C,16,A,12.3,A,2.6,B,A,0.69,1,0.97,8.8,8.3,8.5,8.9
885,24Q143,24,P.S. 143 Louis Armstrong,P.S. 143 Louis Armstrong,Sheila Gorski,EMS,Elementary School,57.86,C,46.1,29,22.7,C,12.8,B,8.6,B,1.9,C,C,0.33,0.76,,7.8,6.7,7.1,7.2
886,24Q153,24,P.S. 153 Maspeth Elem,P.S. 153 Maspeth Elem,Susan Bauer,EMS,Elementary School,33.68,A,64.7,75.1,34.9,B,18.2,A,9.3,B,2.3,B,A,0.88,0.98,0.99,8.4,7.8,8.1,8.5
887,24Q199,24,P.S. 199 Maurice A. Fitzgerald,P.S. 199 Maurice A. Fitzgerald,Anthony Inzerillo,EMS,Elementary School,44.91,A,71,87.5,42.9,A,16.5,A,8.6,B,3,A,B,0.55,0.56,,8.4,7.5,7.3,7.7
888,24Q229,24,P.S. 229 Emanuel Kaplan,P.S. 229 Emanuel Kaplan,Dr. Sibylle Ajwani,EMS,Elementary School,31.85,B,61.3,67.4,30.3,B,18.5,A,9.9,A,2.5,A,A,0.73,0.96,0.99,8.4,7.6,8.3,8.6
889,24Q239,24,P.S. 239,P.S. 239,Robin Connolly,EMS,Elementary School,54.25,B,62.5,70.7,38.2,B,12.5,B,8.6,B,3.1,C,B,0.8,0.98,,8.4,7.4,7.6,7.8
890,24Q307,24,Pioneer Academy,Pioneer Academy,Cecilia Jackson,EMS,Elementary School,60.52,C,44.2,23.8,15.4,D,14.4,B,12.4,A,2,B,.,1,0.82,,8.7,8,8.2,8.3
891,24Q560,24,"Robert F. Wagner, Jr. Secondary School For Arts An","Robert F. Wagner, Jr. Secondary School for Arts",Ann Seifullah,EMS,Middle/High School,3.69,C,49.5,34.3,18.2,D,20,A,10.2,A,1.1,B,A,0.21,1,0.74,8.1,7.3,7.7,7.9
892,24Q560,24,"Robert F. Wagner, Jr. Secondary School For Arts An","Robert F. Wagner, Jr. Secondary School for Arts and Technology",Ann Seifullah,HS,Middle/High School,2.6,C,56.9,26.2,31.6,C,8.8,D,8.9,B,1.9,C,C,0.21,1,0.74,8.1,7.3,7.7,7.9
893,24Q877,24,The 51 Avenue Academy (The Path To Academic Excell,The 51 Avenue Academy (The Path To Academic Exce,Dina Erstejn,EMS,Elementary School,37.6,A,78.2,94.6,43.8,A,19.7,A,10.6,A,4.1,A,A,0.77,0.91,,8.7,7.2,7.8,8.1
894,25Q020,25,P.S. 020 John Bowne,P.S. 020 John Bowne,Victoria Hart,EMS,Elementary School,31.03,B,59.3,62.5,33.9,B,16.5,A,5.4,C,3.5,B,B,0.84,0.82,,7.9,6.5,7.1,7.3
895,25Q021,25,P.S. 021 Edward Hart,P.S. 021 Edward Hart,Debra Buszko,EMS,Elementary School,26.34,B,61.3,67.4,31.3,B,19,A,7.8,B,3.2,A,B,1,1,,8.3,7.5,7.8,8
896,25Q022,25,P.S. 022 Thomas Jefferson,P.S. 022 Thomas Jefferson,Priscilla Milito,EMS,Elementary School,31.7,A,79.5,95.7,44.8,A,22.5,A,9.1,B,3.1,A,A,0.93,0.91,,8.5,7.3,7.6,7.8
897,25Q024,25,P.S. 024 Andrew Jackson,P.S. 024 Andrew Jackson,Debra Cassidy,EMS,Elementary School,27.12,A,74.8,92,41.7,A,19.8,A,8.9,B,4.4,A,A,0.79,0.96,,8.5,7.4,7.7,7.9
898,25Q025,25,I.S. 025 Adrien Block,I.S. 025 Adrien Block,Maryellen Beirne,EMS,Middle School,3.14,C,46.6,26.8,20.9,D,15.3,B,8.1,B,2.3,B,B,0.29,0.84,0.96,7.4,6.8,7.2,7.6
899,25Q029,25,P.S. 029 Queens,P.S. 029 Queens,Jennifer Jones,EMS,Elementary School,38.76,B,57.6,59.2,28.8,C,19.9,A,6.1,C,2.8,A,B,0.75,0.82,,8.1,6.8,7.3,7.5
900,25Q032,25,P.S. 032 State Street,P.S. 032 State Street,Debra Errico,EMS,Elementary School,19.16,A,70.8,87.1,38.2,B,19.7,A,10.9,A,1.9,C,A,0.75,1,,9,8.3,8.6,8.5
901,25Q079,25,P.S. 079 Francis Lewis,P.S. 079 Francis Lewis,Paula Marron,EMS,Elementary School,20.15,C,46.9,32.6,28.5,C,11.1,C,4.4,D,2.8,A,C,0.54,0.85,,8.1,6.6,7,7.4
902,25Q107,25,P.S. 107 Thomas A Dooley,P.S. 107 Thomas A Dooley,James Phair,EMS,Elementary School,24.93,C,49.3,37.9,20.2,D,16.8,A,10.2,A,2,A,B,0.75,0.84,,8.8,8,8.4,8.5
903,25Q120,25,P.S. 120 Queens,P.S. 120 Queens,Joan Monroe,EMS,Elementary School,25.23,B,53.4,49,33.2,B,12.9,B,5,D,2.3,C,A,0.74,0.82,,7.9,6.1,6.4,6.2
904,25Q129,25,P.S. 129 Patricia Larkin,P.S. 129 Patricia Larkin,Marilyn Alesi,EMS,Elementary School,35.21,A,71.1,87.7,37.9,B,21,A,9.2,B,3,B,B,0.42,0.67,,8.9,7.5,7.6,7.8
905,25Q154,25,P.S. 154 Queens,P.S. 154 Queens,Danielle Giunta,EMS,Elementary School,29.86,C,43.2,22.1,21.9,C,12.7,B,6.7,C,1.9,B,C,0.87,0.67,,8.1,7.5,7.4,7.7
906,25Q163,25,P.S. 163 Flushing Heights,P.S. 163 Flushing Heights,Nicole Bullen,EMS,Elementary School,25.1,B,58.3,60.5,29.3,C,16.1,A,9.9,A,3,A,B,0.73,0.83,,8.5,8,7.9,8.1
907,25Q164,25,P.S. 164 Queens Valley,P.S. 164 Queens Valley,Anne Alfonso,EMS,Elementary/Middle School,29.34,A,75.8,93.8,45.4,A,18.5,A,5.3,D,6.6,B,A,0.74,0.83,0.96,7.2,6.7,7,7.6
908,25Q165,25,P.S. 165 Edith K. Bergtraum,P.S. 165 Edith K. Bergtraum,Raquel Victoria Demillio,EMS,Elementary School,32.55,B,63.9,73,37,B,19.4,A,4.3,D,3.2,B,B,0.86,0.92,,7.8,5.9,6.6,6.7
909,25Q169,25,P.S. 169 Bay Terrace,P.S. 169 Bay Terrace,Vanessa Chambers,EMS,Elementary School,17.51,C,44.6,24.8,16.9,D,13.7,B,12,A,2,B,C,0.76,1,,9.2,8.8,9.1,9.1
910,25Q184,25,P.S. 184 Flushing Manor,P.S. 184 Flushing Manor,Dora Pantelis,EMS,Elementary School,19.1,B,52.8,47.4,22,C,15.1,B,12.8,A,2.9,A,A,0.85,0.97,,9.3,8.7,9,9
911,25Q185,25,J.H.S. 185 Edward Bleeker,J.H.S. 185 Edward Bleeker,Valerie Sawinski,EMS,Middle School,3.13,B,52.1,42.5,25.3,C,16.5,A,8,B,2.3,B,A,0.65,0.83,0.95,7.7,6.8,7.3,7.7
912,25Q189,25,J.H.S. 189 Daniel Carter Beard,J.H.S. 189 Daniel Carter Beard,Cindy Diaz-Burgos,EMS,Middle School,3.01,B,61.4,65.2,35.1,B,11.6,C,11.5,A,3.2,C,B,0.91,0.96,0.99,8.3,7.3,7.7,8
913,25Q193,25,P.S. 193 Alfred J. Kennedy,P.S. 193 Alfred J. Kennedy,Joyce E. Bush,EMS,Elementary School,16.05,C,46.4,30.3,23.4,C,13,B,7,C,3,B,C,0.74,0.97,,8.5,7.6,8,8.1
914,25Q194,25,J.H.S. 194 William Carr,J.H.S. 194 William Carr,Richard Garino,EMS,Middle School,3.15,C,34.5,8.8,14.5,D,15,B,3.2,F,1.8,B,A,0.31,0.79,0.97,6.5,6,6.2,6.9
915,25Q200,25,Ps/Ms 200 - The Pomonok School & Star Academy,PS/MS 200 - The Pomonok School & STAR Academy,Farrah Mckenna,EMS,Elementary/Middle School,40.19,B,56.3,57.5,30.9,C,14.8,B,5.3,D,5.3,A,B,0.47,0.63,0.98,7.1,6.8,7,7.5
916,25Q201,25,P.S. 201 The Discovery School For Inquiry And Rese,P.S. 201 The Discovery School for Inquiry and Re,Rebecca Lozada,EMS,Elementary School,51.34,B,59.6,63.6,35.5,B,13.4,B,6.1,C,4.6,B,A,0.6,0.73,,7.8,7.2,7.4,7.5
917,25Q209,25,P.S. 209 Clearview Gardens,P.S. 209 Clearview Gardens,Mary Mcdonnell,EMS,Elementary School,14.67,A,68.4,83.4,35.2,B,19,A,11.6,A,2.6,A,A,0.87,1,,8.8,8.4,8.6,8.7
918,25Q214,25,P.S. 214 Cadwallader Colden,P.S. 214 Cadwallader Colden,Denise Fuccillo,EMS,Elementary School,34.79,B,55.9,55.6,25.4,C,16.6,A,10.4,A,3.4,A,A,0.63,0.85,,8.5,7.7,8,8.2
919,25Q219,25,P.S. 219 Paul Klapper,P.S. 219 Paul Klapper,Frederick Wright,EMS,Elementary/Middle School,38.93,A,65.7,78.8,33,B,17.7,A,6.8,C,8.2,A,A,0.4,0.65,0.99,7.7,6.5,7.2,7.7
920,25Q237,25,I.S. 237,I.S. 237,Judith Friedman,EMS,Middle School,2.96,A,68.3,78.5,42.2,A,15.4,B,7.4,C,3.3,B,A,0.86,0.96,0.93,7.6,6.8,7.3,7.7
921,25Q250,25,I.S. 250 The Robert F. Kennedy Community Middle Sc,I.S. 250 The Robert F. Kennedy Community Middle,Vincent Randazzo,EMS,Middle School,2.57,A,70.9,83.4,41.4,A,17,A,9.2,B,3.3,C,C,0.62,0.92,0.96,7.5,7.3,7.5,8.1
922,25Q252,25,"Queens School Of Inquiry, The","Queens School of Inquiry, The",Meredith Inbal,EMS,Middle/High School,3.08,C,49.8,34.5,20.7,D,16.7,A,9.5,B,2.9,C,A,0.41,1,0.99,7.7,7.1,7.4,7.9
923,25Q252,25,"Queens School Of Inquiry, The","Queens School of Inquiry, The",Meredith Inbal,HS,Middle/High School,2.99,B,59.2,32.8,25.1,D,12.5,B,9.7,B,3.6,,,0.41,1,0.99,7.7,7.1,7.4,7.9
924,25Q281,25,East-West School Of International Studies,East-West School of International Studies,Ben Sherman,EMS,Middle/High School,3.22,B,61.5,66.3,32.7,B,17.8,A,7.7,B,3.3,B,A,0.4,0.74,0.96,7.7,6.7,7,7.2
925,25Q281,25,East-West School Of International Studies,East-West School of International Studies,Ben Sherman,HS,Middle/High School,2.75,B,68.7,62.4,32.8,B,16.7,A,7.9,C,4.9,B,A,0.4,0.74,0.96,7.7,6.7,7,7.2
926,25Q285,25,World Journalism Preparatory: A College Board Scho,World Journalism Preparatory: A College Board Sc,Cynthia Schneider,EMS,Middle/High School,2.92,B,52,42,18,D,20.3,A,10.1,A,3.6,B,C,0.22,0.86,0.91,7.8,7.5,7.6,8
927,25Q285,25,World Journalism Preparatory: A College Board Scho,World Journalism Preparatory: A College Board School,Cynthia Schneider,HS,Middle/High School,2.66,A,76.7,83.1,42,A,15,A,11.7,A,1.6,A,A,0.22,0.86,0.91,7.8,7.5,7.6,8
928,25Q294,25,Bell Academy,BELL Academy,Cheryl Quatrano,EMS,Middle School,2.96,B,65,74.3,29,C,20.3,A,11.5,A,4.2,A,A,0.57,1,0.99,8.3,7.7,8,8.5
929,25Q499,25,"The Queens College School For Math, Science And Te","The Queens College School for Math, Science and",Helene Jacob,EMS,Elementary/Middle School,24.23,B,56.9,59.4,26.4,C,19.2,A,8.9,B,2.4,A,A,0.54,0.93,1,7.8,7.1,7.2,7.8
930,26Q018,26,P.S. 018 Winchester,P.S. 018 Winchester,Kathleen Peknic,EMS,Elementary School,18.45,C,37.5,12.1,9.1,F,17.2,A,10,A,1.2,A,A,0.48,0.86,,8.8,7.7,8.1,8.5
931,26Q026,26,P.S. 026 Rufus King,P.S. 026 Rufus King,Dina Koski,EMS,Elementary School,22.84,B,55.1,53.6,26.6,C,16,B,8.6,B,3.9,A,A,0.82,0.93,,8.5,7.9,7.9,8.2
932,26Q031,26,P.S. 031 Bayside,P.S. 031 Bayside,Terri Graybow,EMS,Elementary School,22.01,B,64.2,74.1,31.5,B,20.4,A,9.8,A,2.5,B,A,0.54,0.7,,8.7,7.8,8.2,8.3
933,26Q041,26,P.S. 041 Crocheron,P.S. 041 Crocheron,Sari Latto,EMS,Elementary School,13.75,A,83.5,96.9,44.6,A,22.6,A,13.2,A,3.1,A,A,0.67,0.92,,9.3,8.7,8.9,9
934,26Q046,26,P.S. 046 Alley Pond,P.S. 046 Alley Pond,Marsha Goldberg,EMS,Elementary School,21.95,A,77,93.6,38,B,21.7,A,11.7,A,5.6,A,A,0.63,0.91,,9.1,8.4,8.7,8.8
935,26Q067,26,J.H.S. 067 Louis Pasteur,J.H.S. 067 Louis Pasteur,Zoi Mcgrath,EMS,Middle School,3.56,B,55.4,50.6,25.1,C,20.1,A,7.2,C,3,A,B,0.47,0.55,0.97,7.4,6.5,7,7.5
936,26Q074,26,J.H.S. 074 Nathaniel Hawthorne,J.H.S. 074 Nathaniel Hawthorne,Anthony Armstrong,EMS,Middle School,3.42,B,60.8,62.7,28.3,C,19.4,A,10,A,3.1,A,A,0.85,0.88,0.96,7.8,7.2,7.6,7.9
937,26Q094,26,P.S. 094 David D. Porter,P.S. 094 David D. Porter,Joann Barbeosch,EMS,Elementary School,16.21,B,57.5,58.7,26.5,C,17.9,A,10.5,A,2.5,B,B,0.78,0.58,,8.8,8.1,8.3,8.6
938,26Q098,26,P.S. 098 The Douglaston School,P.S. 098 The Douglaston School,Sheila Huggins,EMS,Elementary School,7.71,B,54.6,52,27.2,C,17.8,A,7.2,C,2.4,B,B,0.6,0.82,,8.4,7.5,7.8,8
939,26Q115,26,P.S. 115 Glen Oaks,P.S. 115 Glen Oaks,James Ambrose,EMS,Elementary School,17.45,B,61,66.6,32.5,B,17.1,A,8.4,B,3,C,B,0.46,0.76,,8.6,7.7,8,8.1
940,26Q133,26,P.S. 133 Queens,P.S. 133 Queens,Marianne Sheridan,EMS,Elementary School,25.01,A,72.3,89.5,35.7,B,20.2,A,11.7,A,4.7,A,A,0.77,0.7,,9,8.3,8.5,8.7
941,26Q158,26,M.S. 158 Marie Curie,M.S. 158 Marie Curie,Marie Nappi,EMS,Middle School,3.36,B,64.4,72.4,34.4,B,18.4,A,8.4,B,3.2,B,B,0.34,0.47,0.98,7.9,6.7,7.2,7.6
942,26Q159,26,P.S. 159,P.S. 159,Paul Didio,EMS,Elementary School,19.49,A,68,82.3,30.7,B,22.4,A,11.4,A,3.5,A,A,0.76,0.83,,9.2,8.4,8.5,8.7
943,26Q162,26,P.S. 162 John Golden,P.S. 162 John Golden,Joan Casale,EMS,Elementary School,13.61,B,60.9,66.4,29.5,C,19.4,A,10.5,A,1.5,B,B,0.97,0.92,,8.9,7.9,8.2,8.2
944,26Q172,26,Irwin Altman Middle School 172,Irwin Altman Middle School 172,Jeffrey Slivko,EMS,Middle School,3.26,B,55.6,51.7,28.3,C,18.6,A,5.5,C,3.2,A,B,0.38,0.53,0.95,7,6,6.5,6.9
945,26Q173,26,P.S. 173 Fresh Meadows,P.S. 173 Fresh Meadows,Molly Wang,EMS,Elementary School,15.65,B,62.7,71,32.6,B,18.9,A,8.9,B,2.3,A,A,1,1,,8.5,7.3,7.8,8.2
946,26Q178,26,P.S./ Is 178 Holliswood,P.S./ IS 178 Holliswood,Jennifer Ambert,EMS,Elementary/Middle School,15.77,C,42.5,20.6,17.7,F,15.9,B,6.4,C,2.5,A,B,0.51,0.74,0.99,7.3,6.7,7.1,7.6
947,26Q186,26,P.S. 186 Castlewood,P.S. 186 Castlewood,Dolores Troy-Quinn,EMS,Elementary School,24.97,A,77.4,93.9,40.3,A,21.3,A,12.3,A,3.5,A,B,0.99,0.83,,9.1,8.6,8.7,8.8
948,26Q188,26,P.S. 188 Kingsbury,P.S. 188 Kingsbury,Janet Caraisco,EMS,Elementary School,9.52,A,70,86.7,34.8,B,23.6,A,9.4,B,2.2,A,A,0.58,0.79,,8.6,7.8,7.9,8.2
949,26Q191,26,P.S. 191 Mayflower,P.S. 191 Mayflower,Michael Ranieri,EMS,Elementary School,15.75,A,66.6,79.3,31.1,B,18.7,A,13.5,A,3.3,A,A,0.75,0.96,,9.2,8.7,9,9
950,26Q203,26,P.S. 203 Oakland Gardens,P.S. 203 Oakland Gardens,Carole Nussbaum,EMS,Elementary School,11.91,A,74.3,91.5,36.7,B,22.4,A,12.1,A,3.1,A,A,0.68,0.96,,9,8.2,8.5,8.7
951,26Q205,26,P.S. 205 Alexander Graham Bell,P.S. 205 Alexander Graham Bell,Karen Scott-Piazza,EMS,Elementary School,18.21,A,73.5,90.8,44,A,21.2,A,5.2,D,3,A,A,0.55,0.76,,7.8,6.9,6.9,7.5
952,26Q213,26,P.S. 213 The Carl Ullman School,P.S. 213 The Carl Ullman School,Kathleen Driscoll,EMS,Elementary School,16.69,A,65.6,77.4,33.4,B,18.9,A,10.5,A,2.7,A,A,0.51,0.73,,8.7,7.9,8.3,8.5
953,26Q216,26,J.H.S. 216 George J. Ryan,J.H.S. 216 George J. Ryan,Reginald Landeau,EMS,Middle School,3.3,B,63.6,70.7,38.7,B,17.6,A,4.3,D,3,B,A,0.34,0.5,0.94,6.3,5.9,5.8,6.3
954,26Q221,26,P.S. 221 The North Hills School,P.S. 221 The North Hills School,Patricia Bullard,EMS,Elementary School,13.21,A,77.9,94.4,39.7,A,22.2,A,13.1,A,2.9,B,A,0.87,0.97,,9.4,8.8,8.8,8.9
955,26Q266,26,P.S. / I.S. 266,P.S. / I.S. 266,Nicole Scott,EMS,Elementary/Middle School,18.12,B,55,53.8,25.6,C,16.6,A,9.2,B,3.6,A,B,0.66,0.71,0.98,8,7.3,7.6,8.1
956,27Q042,27,P.S./M.S 042 R. Vernam,P.S. 042 R. Vernam,Patricia Finn,EMS,Elementary/Middle School,62.53,C,44.6,26.3,26,C,8.7,D,5.6,C,4.3,C,C,0.6,0.83,0.91,7,7.1,7.2,7.8
957,27Q043,27,P.S. 043,P.S. 043,Gary Fairweather,EMS,Elementary/Middle School,58.58,C,46.2,29.4,24.9,C,10.7,C,7.1,C,3.5,C,C,0.65,0.76,0.92,6.9,7.2,7.4,7.9
958,27Q045,27,P.S. 045 Clarence Witherspoon,P.S. 045 Clarence Witherspoon,Samantha Severin,EMS,Elementary School,53.34,B,64.2,74.1,41.5,A,15.3,B,5.2,D,2.2,B,B,0.24,0.44,0.98,6.8,6.8,7,7.4
959,27Q047,27,P.S. 047 Chris Galas,P.S. 047 Chris Galas,Janet Donohue,EMS,Elementary/Middle School,17.36,B,61.2,68.8,27,C,18.2,A,10.8,A,5.1,B,A,0.88,1,0.98,8.7,8.2,8.5,8.7
960,27Q053,27,M.S. 053 Brian Piccolo,M.S. 053 Brian Piccolo,Shawn Rux,EMS,Middle School,2.07,C,41.2,16.9,22.5,C,9.8,C,5.7,C,3.2,F,C,0.73,0.87,0.85,6.8,6.8,7,7.4
961,27Q056,27,P.S. 056 Harry Eichler,P.S. 056 Harry Eichler,Ann Leiter,EMS,Elementary School,35.11,C,38.2,13.8,17.6,D,10.6,C,8.1,B,1.9,B,B,0.69,0.93,,8.3,7.6,7.5,7.8
962,27Q060,27,P.S. 060 Woodhaven,P.S. 060 Woodhaven,Frank Desario,EMS,Elementary School,48.67,A,80.5,96.2,47.2,A,22.6,A,6.7,C,4,A,A,0.51,0.86,,8.3,7.5,7.7,8.2
963,27Q062,27,P.S. 062 Chester Park,P.S. 062 Chester Park,Angela O'dowd,EMS,Elementary School,27.93,C,48,35.6,23.5,C,14.7,B,8.9,B,0.9,A,C,0.87,0.88,,8.3,7.6,7.9,8.2
964,27Q063,27,P.S. 063 Old South,P.S. 063 Old South,Diane Marino Coleman,EMS,Elementary School,40.92,B,60.8,66.2,33.5,B,17.6,A,6.5,C,3.2,B,A,0.73,0.79,,8.1,7.2,7.5,7.8
965,27Q064,27,P.S. 064 Joseph P. Addabbo,P.S. 064 Joseph P. Addabbo,Nina Auster,EMS,Elementary School,36.5,A,66.5,79,37.4,B,15.6,B,11.3,A,2.2,A,C,0.84,1,,9.1,8.5,8.7,9
966,27Q065,27,P.S. 65 - The Raymond York Elementary School,P.S. 65 - The Raymond York Elementary School,Rafael Morales,EMS,Elementary School,38.61,B,57.8,59.7,32.5,B,12.8,B,9.8,A,2.7,B,C,0.79,0.82,,8.7,7.8,8,8.4
967,27Q066,27,P.S. 066 Jacqueline Kennedy Onassis,P.S. 066 Jacqueline Kennedy Onassis,Phyllis Leinwand,EMS,Elementary School,49.42,A,96.7,99.3,56.2,A,24.5,A,11,A,5,A,A,0.87,0.93,,8.9,8.4,8.4,8.8
968,27Q090,27,P.S. 090 Horace Mann,P.S. 090 Horace Mann,Adrienne Ubertini,EMS,Elementary School,44.16,A,68.9,85.1,40.3,A,16.7,A,7.8,B,4.1,B,B,0.64,0.83,,8,7.5,7.4,7.7
969,27Q096,27,P.S. 096,P.S. 096,Joyce Walker,EMS,Elementary School,36.88,B,63.3,71.8,39.3,A,10.6,C,10.1,A,3.3,C,B,0.63,0.8,0.93,8.8,8.3,8.5,8.6
970,27Q097,27,P.S. 097 Forest Park,P.S. 097 Forest Park,Marilyn Custodio,EMS,Elementary School,48.45,A,68.1,82.8,38.8,A,19.7,A,7.2,C,2.4,B,A,0.66,0.77,,8.3,7.5,7.8,8
971,27Q100,27,P.S. 100 Glen Morris,P.S. 100 Glen Morris,Laureen Fromberg,EMS,Elementary School,33.72,C,43.5,22.3,19.9,D,12.7,B,8,B,2.9,B,B,0.86,0.84,,8.4,7.4,7.8,7.9
972,27Q104,27,P.S. 104 The Bays Water,P.S. 104 The Bays Water,Katie Grady,EMS,Elementary School,57.57,B,56.7,57.7,30.6,B,13.3,B,9.9,A,2.8,B,C,0.39,0.83,,8.7,8.3,8.5,8.6
973,27Q105,27,P.S. 105 The Bay School,P.S. 105 The Bay School,Laurie Shapiro,EMS,Elementary/Middle School,58.81,B,53.4,48.1,27.7,C,10.8,C,10.5,A,4.4,C,C,0.38,0.95,0.98,7.7,7.9,8.2,8.4
974,27Q106,27,P.S. 106,P.S. 106,Marcella Sills,EMS,Elementary School,59.19,B,63.4,72.1,34.6,B,20,A,5.9,C,2.9,A,B,0.5,0.36,,7.6,7.2,7.5,7.7
975,27Q108,27,P.S. 108 Captain Vincent G. Fowler,P.S. 108 Captain Vincent G. Fowler,Marie Biondollilo,EMS,Elementary School,30.78,B,52.5,46.2,21.9,C,20.4,A,8.4,B,1.8,A,A,1,0.98,,8.6,8,8,8.3
976,27Q114,27,P.S. / M.S. 114 Belle Harbor,P.S. / M.S. 114 Belle Harbor,Stephen P. Grill,EMS,Elementary/Middle School,10.64,C,45.3,26.9,18.2,D,14.9,B,8.9,B,3.3,B,B,0.74,0.88,0.96,8.3,7.5,7.9,8.2
977,27Q123,27,P.S. 123,P.S. 123,Cynthia Sumay-Eaton,EMS,Elementary School,52.47,B,56,56.2,31.1,B,13.2,B,7.7,B,4,C,B,0.73,0.67,,8.2,7.4,7.8,7.8
978,27Q124,27,P.S. 124 Osmond A Church,P.S. 124 Osmond A Church,Valarie Lewis,EMS,Elementary/Middle School,34.97,A,66.1,80.6,31.3,B,19.3,A,12.2,A,3.3,B,C,0.84,0.87,0.98,8.2,8.1,8.3,8.7
979,27Q137,27,M.S. 137 America'S School Of Heroes,M.S. 137 America's School of Heroes,Laura Mastrogiovanni,EMS,Middle School,3,C,51.1,38.4,29.1,C,14.6,B,5.7,C,1.7,B,B,0.38,0.78,0.93,6.9,6.9,7.3,7.6
980,27Q146,27,P.S. 146 Howard Beach,P.S. 146 Howard Beach,James Mckeon,EMS,Elementary/Middle School,27.14,B,54,50.6,26.9,C,13.8,B,8.4,B,4.8,B,B,0.77,1,1,8.2,7.4,7.8,8.2
